date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00205664,100.2057,1,0.045316,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.00811532,101.0172,1,0.031948,221.484900,0.00100563,100.1006,1,0.047157,200.000000
2015-01-06,-0.00065352,100.9518,1,0.042142,239.886760,0.01223753,101.3243,0,0.000000,0.000000
2015-01-07,0.00214928,101.1668,1,0.027282,141.923630,0.00307885,101.6322,1,0.038215,219.104328
2015-01-08,-0.00168795,100.9980,1,0.117415,363.527950,-0.00658411,100.9738,0,0.000000,0.000000
2015-01-09,0.00316125,101.3141,1,0.054605,223.924680,0.01268128,102.2419,0,0.000000,0.000000
2015-01-12,-0.00112840,101.2013,1,0.068280,239.111250,0.01078937,103.3209,0,0.000000,0.000000
2015-01-13,0.00086967,101.2882,1,0.043193,141.021040,0.00165810,103.4867,1,0.051390,203.420600
2015-01-14,0.00540708,101.8289,1,0.046582,240.848860,0.01037373,104.5240,1,0.054617,320.940180
2015-01-15,-0.00173693,101.6552,1,0.048763,220.640810,0.00932284,105.4563,1,0.038256,239.960730
2015-01-16,-0.00131722,101.5235,1,0.025042,121.458090,0.00620425,106.0767,1,0.043315,259.027520
2015-01-20,0.00660936,102.1845,1,0.064194,283.245660,-0.00095178,105.9816,0,0.000000,0.000000
2015-01-21,-0.00051014,102.1334,1,0.049894,259.511310,0.00063573,106.0451,1,0.057917,322.054929
2015-01-22,0.00130513,102.2640,1,0.044637,241.992500,-0.00219282,105.8259,1,0.048462,301.528770
2015-01-23,-0.00051339,102.2126,1,0.044559,243.424970,0.00001002,105.8269,0,0.000000,0.000000
2015-01-26,-0.00186237,102.0264,1,0.051007,239.421860,-0.00484784,105.3421,1,0.037464,282.316221
2015-01-27,-0.00537240,101.4891,1,0.029830,182.512390,-0.00281445,105.0606,1,0.053575,361.373840
2015-01-28,0.01059908,102.5490,1,0.031062,180.364690,-0.00184216,104.8764,0,0.000000,0.000000
2015-01-29,0.01111654,103.6607,1,0.040176,161.542410,-0.00377087,104.4993,0,0.000000,0.000000
2015-01-30,0.01033328,104.6940,1,0.070532,263.401510,-0.01415338,103.0840,1,0.052268,279.910846
2015-02-02,0.00508893,105.2029,1,0.064957,317.582820,0.00381765,103.4658,0,0.000000,0.000000
2015-02-03,0.00901542,106.1045,1,0.048808,181.901290,0.00425315,103.8911,1,0.067115,299.538821
2015-02-04,0.00871726,106.9762,1,0.018574,104.248090,-0.01880632,102.0104,0,0.000000,0.000000
2015-02-05,0.01415591,108.3918,1,0.017329,121.439080,-0.00830371,101.1801,1,0.065881,382.864719
