date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00000532,100.0005,1,0.033658,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.00477314,100.4778,1,0.037296,220.508070,0.00414168,100.4142,1,0.038452,200.000000
2015-01-06,0.00008344,100.4862,1,0.041096,238.334130,0.01189887,101.6041,0,0.000000,0.000000
2015-01-07,0.00532591,101.0188,1,0.045969,279.247240,0.00163008,101.7671,1,0.047572,297.671421
2015-01-08,-0.00593713,100.4251,1,0.046133,241.842780,-0.01653856,100.1132,0,0.000000,0.000000
2015-01-09,-0.00020620,100.4044,1,0.022760,183.526920,0.00483019,100.5962,0,0.000000,0.000000
2015-01-12,0.00903732,101.3082,1,0.034578,239.915480,0.02038699,102.6349,0,0.000000,0.000000
2015-01-13,-0.00344740,100.9634,1,0.048100,299.028370,0.00289268,102.9242,1,0.037332,222.676051
2015-01-14,-0.00672674,100.2908,1,0.029264,180.671560,0.00451520,103.3757,1,0.044500,300.598720
2015-01-15,0.01025496,101.3163,1,0.021284,141.195450,0.00432682,103.8084,1,0.043758,321.047340
2015-01-16,-0.00744485,100.5718,1,0.031205,158.839760,0.00092335,103.9007,1,0.027005,179.550900
2015-01-20,-0.00778763,99.7930,1,0.030393,222.270080,0.00327331,104.2281,0,0.000000,0.000000
2015-01-21,0.00725610,100.5186,1,0.040170,261.194870,-0.00051997,104.1761,1,0.035627,262.961577
2015-01-22,0.00905469,101.4241,1,0.043651,202.148160,-0.01058136,103.1179,1,0.063226,341.235070
2015-01-23,-0.01680548,99.7435,1,0.021518,162.963980,-0.00753335,102.3646,0,0.000000,0.000000
2015-01-26,-0.00424334,99.3192,1,0.018674,179.753170,-0.00591233,101.7734,1,0.047933,323.038742
2015-01-27,-0.01797554,97.5217,1,0.025064,181.196540,-0.02759532,99.0138,1,0.048522,341.302680
2015-01-28,-0.00152231,97.3694,1,0.028681,181.921070,0.00494456,99.5083,1,0.061334,361.231110
2015-01-29,0.00487944,97.8574,1,0.030776,200.385430,0.00024980,99.5333,0,0.000000,0.000000
2015-01-30,-0.00491907,97.3655,1,0.039067,262.457220,0.00249349,99.7826,1,0.050001,319.983147
2015-02-02,0.01349785,98.7152,0,0.000000,0.000000,-0.00732570,99.0500,0,0.000000,0.000000
2015-02-03,-0.01518128,97.1971,1,0.045458,319.398993,0.01312473,100.3625,1,0.045947,299.128614
2015-02-04,0.00154905,97.3520,1,0.032485,184.118370,-0.00453086,99.9094,0,0.000000,0.000000
2015-02-05,0.00794827,98.1469,1,0.030193,180.455230,0.00780491,100.6899,1,0.051539,343.168214
2015-02-06,0.00211048,98.3579,1,0.026552,222.658620,0.02353410,103.0433,0,0.000000,0.000000
2015-02-09,0.00183568,98.5415,0,0.000000,0.000000,0.00023454,103.0668,1,0.038266,283.008197
2015-02-10,0.00125706,98.6672,1,0.049474,258.651498,-0.00655015,102.4118,1,0.052045,299.906720
2015-02-11,0.00640237,99.3074,1,0.026363,223.627880,0.00380281,102.7921,0,0.000000,0.000000
2015-02-12,0.00978691,100.2861,0,0.000000,0.000000,0.00730698,103.5227,1,0.039102,282.983191
2015-02-13,-0.02778180,97.5079,1,0.049120,282.593399,0.02718199,106.2409,0,0.000000,0.000000
2015-02-17,-0.00407119,97.1008,1,0.023789,144.043560,0.00412982,106.6539,1,0.025318,205.090425
2015-02-18,0.01341450,98.4423,1,0.025990,180.874950,-0.00956357,105.6976,1,0.047977,340.377160
2015-02-19,0.00406638,98.8489,1,0.023682,160.756100,-0.01929947,103.7676,1,0.049837,320.889800
2015-02-20,0.00249935,99.0988,0,0.000000,0.000000,0.00422794,104.1904,1,0.048586,379.374710
2015-02-23,0.00048863,99.1477,1,0.050437,240.201980,-0.00376571,103.8138,1,0.047891,261.200880
