date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00202282,100.2023,1,0.037278,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.01091995,101.2943,1,0.050795,279.877400,0.00100563,100.1006,1,0.047157,200.000000
2015-01-06,-0.00997406,100.2969,1,0.037306,238.899990,0.01223753,101.3243,0,0.000000,0.000000
2015-01-07,-0.00254408,100.0425,1,0.028318,180.350120,0.00307885,101.6322,1,0.038215,219.104328
2015-01-08,0.00468000,100.5105,1,0.042900,223.044470,-0.00658411,100.9738,0,0.000000,0.000000
2015-01-09,0.00342896,100.8534,1,0.043304,304.031800,0.01268128,102.2419,0,0.000000,0.000000
2015-01-12,0.00481539,101.3349,1,0.049911,279.431660,0.01078937,103.3209,0,0.000000,0.000000
2015-01-13,-0.00199000,101.1359,1,0.049720,240.124310,0.00165810,103.4867,1,0.051390,203.420600
2015-01-14,-0.00717763,100.4181,1,0.043593,260.521720,0.01037373,104.5240,1,0.054617,320.940180
2015-01-15,-0.01195905,99.2222,1,0.051845,240.781970,0.00932284,105.4563,1,0.038256,239.960730
2015-01-16,-0.00179589,99.0426,1,0.030779,180.507120,0.00620425,106.0767,1,0.043315,259.027520
2015-01-20,0.00805551,99.8482,1,0.046909,202.922730,-0.00095178,105.9816,0,0.000000,0.000000
2015-01-21,-0.00505149,99.3430,1,0.041409,240.319720,0.00063573,106.0451,1,0.057917,322.054929
2015-01-22,0.00702692,100.0457,1,0.054418,261.366360,-0.00219282,105.8259,1,0.048462,301.528770
2015-01-23,-0.00158804,99.8869,1,0.058774,323.537550,0.00001002,105.8269,0,0.000000,0.000000
2015-01-26,0.00282140,100.1691,1,0.055770,339.312410,-0.00484784,105.3421,1,0.037464,282.316221
2015-01-27,-0.00351279,99.8178,1,0.051119,262.449950,-0.00281445,105.0606,1,0.053575,361.373840
2015-01-28,0.00837346,100.6551,1,0.034364,200.100340,-0.00184216,104.8764,0,0.000000,0.000000
2015-01-29,-0.00011406,100.6437,1,0.036916,140.554710,-0.00377087,104.4993,0,0.000000,0.000000
2015-01-30,0.01568911,102.2126,1,0.032879,201.382630,-0.01415338,103.0840,1,0.052268,279.910846
2015-02-02,0.00235146,102.4478,1,0.060614,298.513470,0.00381765,103.4658,0,0.000000,0.000000
2015-02-03,-0.00185548,102.2622,1,0.064318,241.402320,0.00425315,103.8911,1,0.067115,299.538821
2015-02-04,0.00736059,102.9983,1,0.055421,264.415550,-0.01880632,102.0104,0,0.000000,0.000000
2015-02-05,0.01344549,104.3428,1,0.040591,260.902840,-0.00830371,101.1801,1,0.065881,382.864719
2015-02-06,-0.00852440,103.4904,1,0.032870,262.337700,-0.01258898,99.9212,1,0.047508,321.833850
2015-02-09,-0.00372607,103.1178,1,0.043007,299.723510,0.00627358,100.5485,1,0.051272,341.563590
2015-02-10,-0.00167825,102.9500,1,0.059565,280.277500,0.00933088,101.4816,1,0.063642,299.843650
2015-02-11,-0.00658973,102.2910,1,0.039163,242.217560,-0.00452950,101.0287,0,0.000000,0.000000
2015-02-12,-0.00228923,102.0621,1,0.030063,201.333490,-0.00880357,100.1483,1,0.059317,325.019739
2015-02-13,-0.00428951,101.6331,1,0.028681,181.913280,0.00752005,100.9003,0,0.000000,0.000000
2015-02-17,0.00220114,101.8532,1,0.034926,201.450910,-0.00435214,100.4651,1,0.052584,283.535052
2015-02-18,0.00840071,102.6933,1,0.036349,200.221020,0.00726696,101.1918,1,0.065104,379.936510
2015-02-19,0.00032410,102.7257,1,0.047290,241.351000,-0.00874369,100.3174,1,0.061229,281.599260
2015-02-20,0.00052034,102.7778,1,0.038946,279.694580,-0.00789608,99.5278,1,0.050238,339.735420
2015-02-23,0.00265946,103.0437,1,0.027694,201.539440,-0.01767567,97.7602,0,0.000000,0.000000
2015-02-24,-0.00449881,102.5938,1,0.030961,260.495280,-0.01017079,96.7432,1,0.049309,403.059735
2015-02-25,-0.00587885,102.0059,1,0.033985,241.192880,-0.00126614,96.6166,1,0.055814,341.183730
2015-02-26,0.00119468,102.1254,1,0.027372,180.680620,-0.01104401,95.5122,1,0.057301,280.383860
2015-02-27,-0.00279815,101.8456,1,0.029885,199.796820,-0.00884122,94.6280,1,0.056542,280.299380
2015-03-02,0.00308638,102.1542,1,0.032912,240.369050,-0.01022690,93.6053,1,0.073640,339.823680
2015-03-03,0.01006560,103.1608,1,0.027340,201.468710,-0.00636063,92.9693,1,0.072143,341.706430
2015-03-04,0.00807999,103.9688,1,0.037801,240.167660,-0.00591761,92.3775,1,0.049091,320.180880
2015-03-05,0.00443903,104.4127,1,0.039017,299.778700,0.00042530,92.4200,1,0.049250,319.900730
2015-03-06,0.00677195,105.0899,1,0.022235,180.780860,-0.00047867,92.3722,1,0.070707,301.078560
2015-03-09,0.00672961,105.7628,1,0.038159,258.339490,0.00881712,93.2539,0,0.000000,0.000000
2015-03-10,-0.00126353,105.6365,1,0.029203,200.633140,0.00723512,93.9774,1,0.042918,240.440077
2015-03-11,0.00090406,105.7269,1,0.023564,180.261230,-0.01258130,92.7193,0,0.000000,0.000000
2015-03-12,0.00075264,105.8022,1,0.043546,261.368930,-0.00197603,92.5217,1,0.050943,320.001507
2015-03-13,-0.00089906,105.7123,1,0.037726,242.436230,0.00153663,92.6753,0,0.000000,0.000000
2015-03-16,-0.00038590,105.6737,1,0.042410,259.413260,0.00801719,93.4771,1,0.041171,302.002112
2015-03-17,-0.00384008,105.2897,1,0.039778,243.289500,0.00505351,93.9824,0,0.000000,0.000000
2015-03-18,-0.00295692,104.9940,1,0.030152,200.550630,0.01172137,95.1545,1,0.038893,262.221221
2015-03-19,0.00362920,105.3569,1,0.040750,202.899200,0.01020093,96.1746,0,0.000000,0.000000
2015-03-20,0.00684184,106.0411,1,0.038796,280.863650,-0.00882734,95.2919,1,0.034084,243.545919
2015-03-23,0.00153068,106.1941,1,0.041492,281.941620,-0.00103195,95.1887,0,0.000000,0.000000
2015-03-24,-0.00341785,105.8524,1,0.033055,280.324200,-0.00186225,95.0025,1,0.046455,321.625824
2015-03-25,-0.00406680,105.4457,1,0.028520,219.698870,0.00862790,95.8653,1,0.049720,299.737930
2015-03-26,0.00196515,105.6422,1,0.033105,219.322500,0.00033408,95.8987,0,0.000000,0.000000
2015-03-27,0.00564459,106.2067,1,0.030801,200.572740,-0.00305073,95.5936,1,0.045133,299.206323
2015-03-30,0.00497055,106.7037,1,0.040725,260.717580,-0.00016685,95.5769,1,0.056895,341.530340
2015-03-31,-0.00029163,106.6745,1,0.036473,222.998260,0.00005834,95.5828,0,0.000000,0.000000
2015-04-01,-0.00640494,106.0340,1,0.039164,241.234510,-0.00296550,95.2862,1,0.048450,303.025020
2015-04-02,-0.00078850,105.9552,1,0.026530,181.460330,-0.00189353,95.0969,1,0.055533,319.050500
2015-04-06,0.00338153,106.2934,1,0.032067,221.749300,-0.00210915,94.8859,1,0.042045,262.212340
2015-04-07,-0.00265301,106.0281,1,0.033971,181.840680,-0.00932669,93.9533,1,0.049369,301.393430
2015-04-08,-0.00402212,105.6258,1,0.037492,259.698630,-0.00028637,93.9246,1,0.054377,339.899540
2015-04-09,0.00004263,105.6301,1,0.032457,241.352760,-0.00415700,93.5089,1,0.053870,340.955860
2015-04-10,0.00348326,105.9784,1,0.027904,201.413040,0.00140616,93.6495,1,0.049304,301.611190
2015-04-13,0.00839977,106.8184,1,0.020873,160.538690,-0.01106770,92.5428,1,0.048490,360.583700
2015-04-14,0.00258657,107.0771,1,0.024423,179.865850,0.00419393,92.9622,1,0.057687,319.383380
2015-04-15,-0.00998752,106.0783,1,0.022602,200.189060,0.00363374,93.3255,1,0.056676,301.367080
2015-04-16,0.00189316,106.2676,1,0.038934,280.917370,-0.00786696,92.5389,1,0.047276,282.788590
2015-04-17,-0.00248221,106.0194,1,0.035471,280.424750,-0.00060460,92.4784,1,0.046690,340.708240
2015-04-20,0.00604517,106.6239,1,0.027733,179.972990,-0.00082655,92.3957,0,0.000000,0.000000
2015-04-21,-0.00437242,106.1867,1,0.044172,281.991550,-0.00309545,92.0862,1,0.060805,339.276184
2015-04-22,0.00475485,106.6622,1,0.043265,241.324710,-0.00586492,91.4997,1,0.057282,301.176040
2015-04-23,-0.00949434,105.7127,1,0.020964,180.820070,-0.00467201,91.0325,1,0.048721,301.198670
2015-04-24,0.00053309,105.7660,1,0.018941,161.450370,0.00292402,91.3249,1,0.065968,380.601740
2015-04-27,0.00565956,106.3320,1,0.039044,240.615630,-0.01010824,90.3141,1,0.047594,341.234130
2015-04-28,-0.00446021,105.8860,1,0.036711,199.959100,0.01445994,91.7601,1,0.063266,358.913390
2015-04-29,-0.00251374,105.6346,1,0.047964,241.450670,-0.00084450,91.6756,1,0.048370,322.374540
2015-04-30,-0.01862191,103.7724,1,0.037731,180.842710,0.01973046,93.6487,1,0.045744,240.318620
2015-05-01,-0.00193744,103.5787,1,0.030064,161.249180,0.00124806,93.7735,0,0.000000,0.000000
2015-05-04,-0.00327522,103.2511,1,0.034852,203.069680,0.00595006,94.3685,0,0.000000,0.000000
2015-05-05,-0.00067380,103.1838,1,0.025040,181.608690,-0.00453456,93.9150,1,0.037336,302.680244
2015-05-06,0.00523545,103.7073,1,0.036185,179.725660,0.00288352,94.2034,0,0.000000,0.000000
2015-05-07,0.00247196,103.9545,1,0.044404,260.263650,0.00365455,94.5688,1,0.056715,337.401087
2015-05-08,0.00211701,104.1662,1,0.036329,181.394340,-0.01431154,93.1377,1,0.054834,321.098170
2015-05-11,-0.00326845,103.8394,1,0.028495,183.837390,-0.00903241,92.2344,0,0.000000,0.000000
2015-05-12,-0.00952973,102.8864,1,0.027173,180.690270,-0.00780594,91.4538,1,0.065774,342.954081
2015-05-13,0.00116873,103.0033,1,0.027167,181.070380,0.01233640,92.6875,1,0.043120,320.726520
2015-05-14,0.00802196,103.8055,1,0.034584,200.576520,-0.00442909,92.2446,1,0.043389,301.714160
2015-05-15,0.00295377,104.1008,1,0.037763,242.457800,-0.00780841,91.4637,0,0.000000,0.000000
2015-05-18,0.00833075,104.9339,1,0.024245,200.042000,-0.00319992,91.1437,1,0.063742,363.197096
2015-05-19,-0.00270842,104.6631,1,0.032992,281.218940,0.00458348,91.6021,1,0.064462,321.577470
2015-05-20,0.00615932,105.2790,1,0.035088,280.441910,0.00466034,92.0681,1,0.043486,300.915550
2015-05-21,-0.01134564,104.1444,1,0.039424,280.187320,-0.00035301,92.0328,1,0.047191,320.687460
2015-05-22,0.00864669,105.0091,1,0.032431,241.132560,-0.02182796,89.8500,1,0.058946,320.113890
2015-05-26,0.00539379,105.5485,1,0.029511,220.750400,-0.00130145,89.7199,1,0.059335,361.188830
2015-05-27,0.00530490,106.0790,1,0.032830,219.265590,0.00540104,90.2600,0,0.000000,0.000000
